ID,story,text,V_pred,A_pred,cluster
0,carnival_packed_away,The sun hung low and bright over the coastal town as the summer festival kicked off its first evening.,0.5647194,0.28712472,0
1,carnival_packed_away,"For Lucy, summer didn’t truly begin until the carnival lights flickered on, until the smell of kettle corn and sea salt blended together in the warm air.",0.72737116,0.46322098,0
2,carnival_packed_away,She had waited months for this.,0.8304224,0.58052033,0
3,carnival_packed_away,It was her favorite week of the year.,0.92449963,0.6987815,0
4,carnival_packed_away,"She rushed through the entrance with a burst of giddy energy, nearly tripping over her own sandals. “Come on, Theo!” she called to her younger brother, who jogged behind her, laughing.",0.9155713,0.6936248,0
5,carnival_packed_away,Music pulsed from the Ferris wheel speakers.,0.7710268,0.48994312,0
6,carnival_packed_away,Children ran with cotton candy taller than their heads.,0.78156227,0.557899,0
7,carnival_packed_away,Performers on stilts waved as they passed.,0.8169561,0.5666174,0
8,carnival_packed_away,Everything shimmered with color and possibility. “First ride?” Theo asked. “Pirate Ship!” Lucy said without hesitation.,0.74385476,0.6062954,0
9,carnival_packed_away,"The ship swung high over the festival tents, the ocean coming into view at the peak of each arc.",0.52159154,0.33109918,0
10,carnival_packed_away,"Lucy screamed with delight, her stomach flipping in that uniquely carnival way.",0.95599777,0.7848689,0
11,carnival_packed_away,"Theo shouted something unintelligible, equal parts exhilaration and terror.",0.7635396,0.7224124,0
12,carnival_packed_away,"They spent hours bouncing from ride to ride: bumper cars, the spinning teacups, the ridiculous funhouse mirrors.",0.6919265,0.4806218,0
13,carnival_packed_away,"When they finally sat down to eat, they piled the table with fried dough, cheesy fries, and frozen lemonade.",0.721777,0.46849516,0
14,carnival_packed_away,"Lucy grinned so hard her cheeks hurt. “Can this last forever?” she asked. “No way,” Theo said, stuffing a fry into his mouth. “But it can last all night.” Lucy liked the idea.",0.876661,0.6961227,0
15,carnival_packed_away,"She wanted the sparkling lights and wild motion and laughter to stretch into something permanent, a bubble of joy untouched by reality.",0.8950565,0.6940673,0
16,carnival_packed_away,"But even bubbles, she knew, eventually popped.",0.46184653,0.21729676,0
17,carnival_packed_away,The first crack came when the fireworks started.,0.46723208,0.25335684,0
18,carnival_packed_away,"They burst in spectacular blooms across the sky—reds, greens, dazzling golds.",0.8511237,0.6070587,1
19,carnival_packed_away,The crowd gasped and applauded.,0.97017765,0.7445807,1
20,carnival_packed_away,Lucy felt her chest swell with happiness so bright she could hardly contain it.,0.98352075,0.7490768,1
21,carnival_packed_away,Then her phone buzzed.,0.43212533,0.38071406,2
22,carnival_packed_away,At first she ignored it.,0.42028293,0.2493425,2
23,carnival_packed_away,"But when it buzzed again, then again, something uneasy stirred in her stomach.",0.15643272,0.5863521,2
24,carnival_packed_away,She pulled it out: three missed calls from Mom.,0.29180548,0.42036563,2
25,carnival_packed_away,"Her father’s name appeared on the fourth call, though he rarely phoned her directly.",0.36438406,0.29974848,2
26,carnival_packed_away,Lucy answered. “Dad?,0.4189645,0.22898512,2
27,carnival_packed_away,I’m at the carnival—” His voice was the sound that changed the summer. “Lucy… your grandmother collapsed.,0.14234564,0.39765036,2
28,carnival_packed_away,She’s at the hospital.,0.115547575,0.40386513,2
29,carnival_packed_away,"It’s not good.” The carnival noises muted around her, as though pushed behind a thick wall of glass.",0.14169794,0.39046273,2
30,carnival_packed_away,"Fireworks still exploded overhead, but they felt wrong now—too loud, too bright, too alive. “We’re coming to get you and Theo,” her father said. “Stay where you are.” Lucy hung up, her hands trembling.",0.06831756,0.43757835,2
31,carnival_packed_away,"Theo looked at her, still grinning from the fireworks. “What’s wrong?” Lucy didn’t know how to say it.",0.08283968,0.3186566,2
32,carnival_packed_away,So she just took his hand and held it tightly until their parents arrived.,0.11814328,0.29894844,2
33,carnival_packed_away,The ride to the hospital was quiet except for the hum of tires on asphalt.,0.28957683,0.24169147,2
34,carnival_packed_away,Theo asked questions their parents didn’t answer.,0.31555054,0.21569984,2
35,carnival_packed_away,Lucy stared out the window at the fading fireworks in the distance.,0.25641185,0.22313522,2
36,carnival_packed_away,"Just an hour earlier, she’d wished the night would last forever.",0.34335074,0.24742249,2
37,carnival_packed_away,"Be careful what you wish for, she thought bitterly.",0.11488124,0.42985857,2
38,carnival_packed_away,Beautiful things only last because they end.,0.20837232,0.36517465,2
39,carnival_packed_away,"At the hospital, the sterile smell and harsh lighting crushed the last remnants of carnival magic.",0.09127653,0.34842107,2
40,carnival_packed_away,"Lucy’s grandmother—Nana Jo—had always been the warmest part of their family, the one who baked cookies on random Tuesdays and told stories with hands that danced like birds.",0.34096676,0.28681636,2
41,carnival_packed_away,"Now she lay still and pale, machines doing the breathing she once did with laughter.",0.07040506,0.31409508,2
42,carnival_packed_away,Lucy stayed by her bedside long after Theo fell asleep in a waiting-room chair.,0.23637797,0.2133224,2
43,carnival_packed_away,"She whispered memories, hoping Nana Jo could hear them: the summer picnics at the lake, the way she hummed old songs while folding laundry, the time she taught Lucy to sew a crooked little pillow shaped like a star.",0.26627266,0.26657042,2
44,carnival_packed_away,"But the machines kept beeping in steady, indifferent rhythm.",0.1343988,0.27401713,2
45,carnival_packed_away,"Around dawn, a nurse gently squeezed her shoulder. “She’s fading,” she said softly.",0.09075476,0.21566355,2
46,carnival_packed_away,Lucy’s parents woke Theo.,0.23831083,0.19331877,2
47,carnival_packed_away,"The four of them stood around the bed as the monitors slowed, then stuttered, then softened into a flat silence.",0.06373712,0.28158972,2
48,carnival_packed_away,The absence of sound was unbearable.,0.03691176,0.3195497,2
49,carnival_packed_away,"When they returned home later, the carnival was gone.",0.22663149,0.23831387,2
50,carnival_packed_away,Not literally—they could still see its Ferris wheel rising over the boardwalk from their window.,0.38133037,0.17590222,2
51,carnival_packed_away,"But for Lucy, its joy was now unreachable, locked behind grief’s heavy curtain.",0.07495475,0.27960458,2
52,carnival_packed_away,"Even the distant laughter drifting from the rides felt intrusive, almost cruel.",0.07010788,0.4280642,2
53,carnival_packed_away,"The following day, her friends begged her to come back to the festival, to “get her mind off things.” But Lucy couldn’t imagine stepping into that world again.",0.08132168,0.31282577,2
54,carnival_packed_away,"The colors would be too bright, the music too upbeat, the smells too sweet.",0.16561344,0.26440778,2
55,carnival_packed_away,"The carnival would go on, of course.",0.37707415,0.19571504,2
56,carnival_packed_away,Joy was stubborn that way.,0.39564687,0.18902512,2
57,carnival_packed_away,But hers was dimmed now.,0.21373194,0.21504359,2
58,carnival_packed_away,"Each night she listened to the echoes of fireworks, remembering how they once made her feel.",0.16995941,0.21415418,2
59,carnival_packed_away,"Remembering how quickly feelings could collapse, like tents being packed away.",0.16019309,0.24701402,2
60,carnival_packed_away,"On the last night of the carnival, she finally forced herself to walk to the boardwalk.",0.2793936,0.19177288,2
61,carnival_packed_away,Not to ride anything—just to say goodbye to the season she’d started so happily.,0.2024563,0.18246165,2
62,carnival_packed_away,The Ferris wheel spun slowly against the night sky.,0.4223752,0.1700564,2
63,carnival_packed_away,Kids laughed.,0.55310804,0.3425755,3
64,carnival_packed_away,Couples held hands.,0.5343357,0.3683378,3
65,carnival_packed_away,Someone won a giant stuffed bear and cheered.,0.6486679,0.51818746,3
66,carnival_packed_away,"Lucy stood at the edge, unseen.",0.42863607,0.21764049,3
67,carnival_packed_away,Unchanged on the outside.,0.40360156,0.18487807,3
68,carnival_packed_away,Completely changed on the inside.,0.36725646,0.23014979,3
69,carnival_packed_away,She closed her eyes.,0.4133242,0.1664722,3
70,carnival_packed_away,"For a moment she heard the fireworks again—the first ones, the bright ones, before the phone call.",0.36828992,0.20838217,3
71,carnival_packed_away,"She let herself feel the echo of that joy, then let it slip away.",0.30363643,0.22407323,3
72,carnival_packed_away,"When she opened her eyes, the carnival lights blurred in small shining streaks.",0.27937293,0.21055558,3
73,carnival_packed_away,She wasn’t crying because she missed the carnival.,0.20946372,0.20351583,3
74,carnival_packed_away,"She was crying because she finally realized that happiness, like summer, was something you couldn’t hold, no matter how tightly you tried.",0.06403372,0.229176,3
